pitchAdaptor1_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm   6.1430*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
    module2_s14_r2 | sector14_r2|   0.0000*cm  -0.0160*cm  22.9680*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm     16.7550*cm | 
sensorPhysical1_m2_s14_r2 | module2_s14_r2|   0.0000*cm   0.0000*cm -11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s14_r2 | module2_s14_r2|   0.0000*cm   0.0000*cm  -0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s14_r2 | module2_s14_r2|   0.0000*cm   0.0000*cm  11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
carbonFiber2_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
carbonFiberCu_m2_s14_r2 | carbonFiber2_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
carbonFiberPk_m2_s14_r2 | carbonFiber2_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
  busCable2_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCableCu_m2_s14_r2 | busCable2_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCablePk_m2_s14_r2 | busCable2_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
pitchAdaptor2_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm   6.1430*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
           region3 |      svt|   0.0000*cm   0.0000*cm -20.4171*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |     Tube |     12.0002*cm     12.0962*cm      0.0000*cm      0.0000*cm    360.0000*cm | 
        sector1_r3 |  region3|  -0.0000*cm -12.0482*cm   0.0000*cm| ordered: zyx   -0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0320*cm      0.0000*cm | 
    heatSink_s1_r3 | sector1_r3|   0.0000*cm   0.0000*cm  -0.5600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
  heatSinkCu_s1_r3 | heatSink_s1_r3|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
heatSinkRidge_s1_r3 | heatSink_s1_r3|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
    rohacell_s1_r3 | sector1_r3|   0.0000*cm   0.0000*cm   5.9730*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
     module1_s1_r3 | sector1_r3|   0.0000*cm   0.0160*cm  22.9680*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm     16.7550*cm | 
sensorPhysical1_m1_s1_r3 | module1_s1_r3|   0.0000*cm   0.0000*cm -11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s1_r3 | module1_s1_r3|   0.0000*cm   0.0000*cm  -0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s1_r3 | module1_s1_r3|   0.0000*cm   0.0000*cm  11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
carbonFiber1_s1_r3 | sector1_r3|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
