      e_det_strip_57  |                root  |Compton Electron Detector Strip 57  |                    -0.0283698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 57 
      e_det_strip_58  |                root  |Compton Electron Detector Strip 58  |                    -0.0281198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 58 
      e_det_strip_59  |                root  |Compton Electron Detector Strip 59  |                    -0.0278698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 59 
      e_det_strip_60  |                root  |Compton Electron Detector Strip 60  |                    -0.0276198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 60 
      e_det_strip_61  |                root  |Compton Electron Detector Strip 61  |                    -0.0273698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 61 
      e_det_strip_62  |                root  |Compton Electron Detector Strip 62  |                    -0.0271198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 62 
      e_det_strip_63  |                root  |Compton Electron Detector Strip 63  |                    -0.0268698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 63 
      e_det_strip_64  |                root  |Compton Electron Detector Strip 64  |                    -0.0266198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 64 
      e_det_strip_65  |                root  |Compton Electron Detector Strip 65  |                    -0.0263698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 65 
      e_det_strip_66  |                root  |Compton Electron Detector Strip 66  |                    -0.0261198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 66 
      e_det_strip_67  |                root  |Compton Electron Detector Strip 67  |                    -0.0258698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 67 
      e_det_strip_68  |                root  |Compton Electron Detector Strip 68  |                    -0.0256198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 68 
      e_det_strip_69  |                root  |Compton Electron Detector Strip 69  |                    -0.0253698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 69 
