det1_tof_modular_eleside_box_XpYp_2_6  |                root  |det1_tof_modular_eleside_box_XpYp_2_6  |      351.5625*mm 914.0625*mm -2374.11116180219*mm  |-20.8498043862818*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_7  |                root  |det1_tof_modular_eleside_box_XpYp_2_7  |     351.5625*mm 1054.6875*mm -2374.11116180219*mm  |-23.7232378363355*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_6  |                root  |det1_tof_modular_eleside_box_XpYp_3_6  |      492.1875*mm 914.0625*mm -2348.98945609463*mm  |-20.8498043862818*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_7  |                root  |det1_tof_modular_eleside_box_XpYp_3_7  |     492.1875*mm 1054.6875*mm -2348.98945609463*mm  |-23.7232378363355*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_6  |                root  |det1_tof_modular_eleside_box_XpYp_4_6  |      632.8125*mm 914.0625*mm -2315.06983476606*mm  |-20.8498043862818*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_7  |                root  |det1_tof_modular_eleside_box_XpYp_4_7  |     632.8125*mm 1054.6875*mm -2315.06983476606*mm  |-23.7232378363355*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_6  |                root  |det1_tof_modular_eleside_box_XpYp_5_6  |      773.4375*mm 914.0625*mm -2271.95828165786*mm  |-20.8498043862818*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_7  |                root  |det1_tof_modular_eleside_box_XpYp_5_7  |     773.4375*mm 1054.6875*mm -2271.95828165786*mm  |-23.7232378363355*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_6  |                root  |det1_tof_modular_eleside_box_XpYp_6_6  |      914.0625*mm 914.0625*mm -2219.11913742677*mm  |-20.8498043862818*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_7  |                root  |det1_tof_modular_eleside_box_XpYp_6_7  |     914.0625*mm 1054.6875*mm -2219.11913742677*mm  |-23.7232378363355*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_6  |                root  |det1_tof_modular_eleside_box_XpYp_7_6  |     1054.6875*mm 914.0625*mm -2155.83725669257*mm  |-20.8498043862818*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_7  |                root  |det1_tof_modular_eleside_box_XpYp_7_7  |    1054.6875*mm 1054.6875*mm -2155.83725669257*mm  |-23.7232378363355*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
