det1_tracker_vertex_Vertex_4_10  |                root  |det1_tracker_vertex_Vertex_4_10  |-4.40628585234735e-05*cm -11.0699999999123*cm 5*cm  |   0*deg 0.025*rad -173.007735158364*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50410 
det1_tracker_vertex_Vertex_4_11  |                root  |det1_tracker_vertex_Vertex_4_11  |     5.53495760044049*cm -9.58692569916582*cm 5*cm  |   0*deg 0.025*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50411 
det1_tracker_vertex_Vertex_4_12  |                root  |det1_tracker_vertex_Vertex_4_12  |     9.58687429247786*cm -5.53504663939041*cm 5*cm  |   0*deg 0.025*rad -233.009454082445*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50412 
det1_tracker_vertex_Vertex_5_1  |                root  |det1_tracker_vertex_Vertex_5_1  |                                15.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50501 
det1_tracker_vertex_Vertex_5_2  |                root  |det1_tracker_vertex_Vertex_5_2  |      14.1611693149373*cm 5.15423938459201*cm 5*cm  |    0*deg 0.025*rad 76.9994270253064*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50502 
det1_tracker_vertex_Vertex_5_3  |                root  |det1_tracker_vertex_Vertex_5_3  |      11.5442954699828*cm 9.68680247046125*cm 5*cm  |    0*deg 0.025*rad 56.9988540506128*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50503 
det1_tracker_vertex_Vertex_5_4  |                root  |det1_tracker_vertex_Vertex_5_4  |      7.53501154399969*cm 13.0509961700934*cm 5*cm  |    0*deg 0.025*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50504 
det1_tracker_vertex_Vertex_5_5  |                root  |det1_tracker_vertex_Vertex_5_5  |      2.61689554057941*cm 14.8410497516077*cm 5*cm  |    0*deg 0.025*rad 16.9977081012255*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50505 
det1_tracker_vertex_Vertex_5_6  |                root  |det1_tracker_vertex_Vertex_5_6  |     -2.61685615851206*cm 14.8410566957228*cm 5*cm  |   0*deg 0.025*rad -3.00286487346808*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50506 
det1_tracker_vertex_Vertex_5_7  |                root  |det1_tracker_vertex_Vertex_5_7  |     -7.53497691198293*cm 13.0510161648771*cm 5*cm  |   0*deg 0.025*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50507 
